State,Participation,English,Math,Reading,Science,Composite,Region,PercentUrban 
National,60%,20.3,20.7,21.4,21,21,-99,80.7
Alabama,100%,18.9,18.4,19.7,19.4,19.2,3,59
Alaska,65%,18.7,19.8,20.4,19.9,19.8,4,66
Arizona,62%,18.6,19.8,20.1,19.8,19.7,4,89.8
Arkansas,100%,18.9,19,19.7,19.5,19.4,3,56.2
California,31%,22.5,22.7,23.1,22.2,22.8,4,95
Colorado,100%,20.1,20.3,21.2,20.9,20.8,4,86.2
Connecticut,31%,25.5,24.6,25.6,24.6,25.2,1,88
Delaware,18%,24.1,23.4,24.8,23.6,24.1,3,83.3
District of Columbia,32%,24.4,23.5,24.9,23.5,24.2,3,100
Florida,73%,19,19.4,21,19.4,19.8,3,91.2
Georgia,55%,21,20.9,22,21.3,21.4,3,75.1
Hawaii,90%,17.8,19.2,19.2,19.3,19,4,91.9
Idaho,38%,21.9,21.8,23,22.1,22.3,4,70.6
Illinois,93%,21,21.2,21.6,21.3,21.4,2,88.5
Indiana,35%,22,22.4,23.2,22.3,22.6,2,72.4
Iowa,67%,21.2,21.3,22.6,22.1,21.9,2,64
Kansas,73%,21.1,21.3,22.3,21.7,21.7,2,74.2
Kentucky,100%,19.6,19.4,20.5,20.1,20,3,58.4
Louisiana,100%,19.4,18.8,19.8,19.6,19.5,3,73.2
Maine,8%,24.2,24,24.8,23.7,24.3,1,38.7
Maryland,28%,23.3,23.1,24.2,2.3,23.6,3,87.2
Massachusetts,29%,25.4,25.3,25.9,24.7,25.4,1,92
Michigan,29%,24.1,23.7,24.5,23.8,24.1,2,74.6
Minnesota,100%,20.4,21.5,21.8,21.6,21.5,2,73.3
Mississippi,100%,18.2,18.1,18.8,18.8,18.6,3,49.4
Missouri,100%,19.8,19.9,20.8,20.5,20.4,2,70.4
Montana,100%,19,20.2,21,20.5,20.3,4,55.9
Nebraska,84%,20.9,20.9,21.9,21.5,21.4,2,73.1
Nevada,100%,16.3,18,18.1,18.2,17.8,4,94.2
New Hampshire,18%,25.4,25.1,26,24.9,25.5,1,60.3
New Jersey,34%,23.8,23.8,24.1,23.2,23.9,1,94.7
New Mexico,66%,18.6,19.4,20.4,20,19.7,4,77.4
New York,31%,23.8,24,24.6,23.9,24.2,1,87.9
North Carolina,100%,17.8,19.3,19.6,19.3,19.1,3,66.1
North Dakota,98%,19,20.4,20.5,20.6,20.3,2,59.9
Ohio,75%,21.2,21.6,22.5,22,22,2,77.9
Oklahoma,100%,18.5,18.8,20.1,19.6,19.4,3,66.2
Oregon,40%,21.2,21.5,22.4,21.7,21.8,4,81
Pennsylvania,23%,23.4,23.4,24.2,23.3,23.7,1,78.7
Rhode Island,21%,24,23.3,24.7,23.4,24,1,90.7
South Carolina,100%,17.5,18.6,19.1,18.9,18.7,3,66.3
South Dakota,80%,20.7,21.5,22.3,22,21.8,2,56.7
Tennessee,100%,19.5,19.2,20.1,19.9,19.8,3,66.4
Texas,45%,19.5,20.7,21.1,20.9,20.7,3,84.7
Utah,100%,19.5,19.9,20.8,20.6,20.3,4,90.6
Vermont,29%,23.3,23.1,24.4,23.2,23.6,1,38.9
Virginia,29%,23.5,23.3,24.6,23.5,23.8,3,75.5
Washington,29%,20.9,21.9,22.1,22,21.9,3,84.1
West Virginia,69%,20,19.4,21.2,20.5,20.4,4,48.7
Wisconsin,100%,19.7,20.4,20.6,20.9,20.5,2,70.2
Wyoming,100%,19.4,19.8,20.8,20.6,20.2,4,64.8
