State,SAT_P,SAT_RW,SAT_M,SAT_T,ACT_P,ACT_E,ACT_M,ACT_R,ACT_S,ACT_C,max_p,min_p,min_plus_max,ratio_min_max,switch
Oregon,43,560,548,1108,40,21.2,21.5,22.4,21.7,21.8,43,40,83,0.930232558,3
California,53,531,524,1055,31,22.5,22.7,23.1,22.2,22.8,53,31,84,0.58490566,22
Vermont,60,562,551,1114,29,23.3,23.1,24.4,23.2,23.6,60,29,89,0.483333333,31
Georgia,61,535,515,1050,55,21,20.9,22,21.3,21.4,61,55,116,0.901639344,6
Arizona,30,563,553,1116,62,18.6,19.8,20.1,19.8,19.7,62,30,92,0.483870968,-32
Texas,62,513,507,1020,45,19.5,20.7,21.1,20.9,20.7,62,45,107,0.725806452,17
Indiana,63,542,532,1074,35,22,22.4,23.2,22.3,22.6,63,35,98,0.555555556,28
Washington,64,541,534,1075,29,20.9,21.9,22.1,22,21.9,64,29,93,0.453125,35
Alaska,38,547,533,1080,65,18.7,19.8,20.4,19.9,19.8,65,38,103,0.584615385,-27
Pennsylvania,65,540,531,1071,23,23.4,23.4,24.2,23.3,23.7,65,23,88,0.353846154,42
Virginia,65,561,541,1102,29,23.5,23.3,24.6,23.5,23.8,65,29,94,0.446153846,36
New Mexico,11,577,561,1138,66,18.6,19.4,20.4,20,19.7,66,11,77,0.166666667,-55
Iowa,2,641,635,1275,67,21.2,21.3,22.6,22.1,21.9,67,2,69,0.029850746,-65
New York,67,528,523,1052,31,23.8,24,24.6,23.9,24.2,67,31,98,0.462686567,36
Maryland,69,536,52,1060,28,23.3,23.1,24.2,2.3,23.6,69,28,97,0.405797101,41
West Virginia,14,558,528,1086,69,20,19.4,21.2,20.5,20.4,69,14,83,0.202898551,-55
New Jersey,70,530,526,1056,34,23.8,23.8,24.1,23.2,23.9,70,34,104,0.485714286,36
Rhode Island,71,539,524,1062,21,24,23.3,24.7,23.4,24,71,21,92,0.295774648,50
Kansas,4,632,628,1260,73,21.1,21.3,22.3,21.7,21.7,73,4,77,0.054794521,-69
Ohio,12,578,570,1149,75,21.2,21.6,22.5,22,22,75,12,87,0.16,-63
Massachusetts,76,555,551,1107,29,25.4,25.3,25.9,24.7,25.4,76,29,105,0.381578947,47
South Dakota,3,612,603,1216,80,20.7,21.5,22.3,22,21.8,80,3,83,0.0375,-77
Florida,83,520,497,1017,73,19,19.4,21,19.4,19.8,83,73,156,0.879518072,10
Nebraska,3,629,625,1253,84,20.9,20.9,21.9,21.5,21.4,84,3,87,0.035714286,-81
Hawaii,55,544,541,1085,90,17.8,19.2,19.2,19.3,19,90,55,145,0.611111111,-35
Idaho,93,513,493,1005,38,21.9,21.8,23,22.1,22.3,93,38,131,0.408602151,55
Illinois,9,559,556,1115,93,21,21.2,21.6,21.3,21.4,93,9,102,0.096774194,-84
Maine,95,513,499,1012,8,24.2,24,24.8,23.7,24.3,95,8,103,0.084210526,87
New Hampshire,96,532,520,1052,18,25.4,25.1,26,24.9,25.5,96,18,114,0.1875,78
North Dakota,2,635,621,1256,98,19,20.4,20.5,20.6,20.3,98,2,100,0.020408163,-96
Alabama,5,593,572,1165,100,18.9,18.4,19.7,19.4,19.2,100,5,105,0.05,-95
Arkansas,3,614,594,1208,100,18.9,19,19.7,19.5,19.4,100,3,103,0.03,-97
Colorado,11,606,595,1201,100,20.1,20.3,21.2,20.9,20.8,100,11,111,0.11,-89
Connecticut,100,530,512,1041,31,25.5,24.6,25.6,24.6,25.2,100,31,131,0.31,69
Delaware,100,503,492,996,18,24.1,23.4,24.8,23.6,24.1,100,18,118,0.18,82
District of Columbia,100,482,468,950,32,24.4,23.5,24.9,23.5,24.2,100,32,132,0.32,68
Kentucky,4,631,616,1247,100,19.6,19.4,20.5,20.1,20,100,4,104,0.04,-96
Louisiana,4,611,586,1198,100,19.4,18.8,19.8,19.6,19.5,100,4,104,0.04,-96
Michigan,100,509,495,1005,29,24.1,23.7,24.5,23.8,24.1,100,29,129,0.29,71
Minnesota,3,644,651,1295,100,20.4,21.5,21.8,21.6,21.5,100,3,103,0.03,-97
Mississippi,2,634,607,1242,100,18.2,18.1,18.8,18.8,18.6,100,2,102,0.02,-98
Missouri,3,640,631,1271,100,19.8,19.9,20.8,20.5,20.4,100,3,103,0.03,-97
Montana,10,605,591,1196,100,19,20.2,21,20.5,20.3,100,10,110,0.1,-90
Nevada,26,563,553,1116,100,16.3,18,18.1,18.2,17.8,100,26,126,0.26,-74
North Carolina,49,546,535,1081,100,17.8,19.3,19.6,19.3,19.1,100,49,149,0.49,-51
Oklahoma,7,530,517,1047,100,18.5,18.8,20.1,19.6,19.4,100,7,107,0.07,-93
South Carolina,50,543,521,1064,100,17.5,18.6,19.1,18.9,18.7,100,50,150,0.5,-50
Tennessee,5,623,604,1228,100,19.5,19.2,20.1,19.9,19.8,100,5,105,0.05,-95
Utah,3,624,614,1238,100,19.5,19.9,20.8,20.6,20.3,100,3,103,0.03,-97
Wisconsin,3,642,649,1291,100,19.7,20.4,20.6,20.9,20.5,100,3,103,0.03,-97
Wyoming,3,626,604,1230,100,19.4,19.8,20.8,20.6,20.2,100,3,103,0.03,-97
